BirthRate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,LifeExpectancy,Ease of Business (clusters),Country,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,InfantMortalityRate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.50%,,27697,Below Threshold,"$8,752 ",1.5-3%,69,Friendly,Trinidad and Tobago,,,13541,"$4,688 ",$11B,5.10%,$449 ,,2.50%,26%,0.112,73,65,26%,1,23%,70%,0.069,1.3M,10.20%,The Americas,$0B,$0B,12/1/2003
,,103,Below Threshold,,Above 3%,,Not Clustered,Turks and Caicos Islands,,,,,,,,,,,,,,,1,,,,0.0M,86.60%,The Americas,,,12/1/2003
1.40%,,5681664,Above Threshold,"$39,682 ",Below 1.5%,78,Very Friendly,United States,6,,2261151,"$37,504 ","$11,512B",15.60%,"$5,993 ",,0.70%,62%,0.041,80,75,55%,1,21%,67%,0.123,290.1M,79.60%,The Americas,$102B,$82B,12/1/2003
1.60%,,4598,Below Threshold,"$3,622 ",1.5-3%,76,Friendly,Uruguay,45,,2523,$0 ,$12B,9.70%,$351 ,,1.30%,16%,0.589,79,72,15%,1,24%,63%,0.134,3.3M,92.80%,The Americas,$0B,$0B,12/1/2003
2.30%,,192103,Below Threshold,"$3,242 ",1.5-3%,73,Low,"Venezuela, RB",141,,52881,$0 ,$84B,5.90%,$190 ,,1.70%,8%,0.252,76,70,27%,1,32%,63%,0.048,25.8M,88.50%,The Americas,$0B,$1B,12/1/2003
1.40%,,,Below Threshold,,Below 1.5%,78,Not Clustered,Virgin Islands (U.S.),,,,,,,,,,27%,,81,75,46%,1,24%,67%,0.096,0.1M,93.30%,The Americas,$1B,,12/1/2003
2.00%,,89493,Below Threshold,"$2,550 ",1.5-3%,70,Low,Algeria,25,,30974,$0 ,$85B,3.50%,$90 ,,3.00%,5%,0.08,71,68,15%,1,30%,66%,0.043,33.5M,63.10%,Africa,$0B,$0B,12/1/2004
5.00%,,18793,Below Threshold,"$1,229 ",Above 3%,48,Low,Angola,119,,9676,$0 ,$20B,5.10%,$63 ,,12.30%,1%,0.823,49,47,5%,1,48%,50%,0.025,16.0M,35.40%,Africa,$0B,$0B,12/1/2004
4.10%,,2512,Below Threshold,$511 ,Above 3%,57,Low,Benin,31,,2491,$0 ,$4B,4.60%,$23 ,,7.80%,1%,,58,55,6%,1,45%,53%,0.028,7.9M,39.60%,Africa,$0B,$0B,12/1/2004
2.60%,,4378,Below Threshold,"$4,830 ",1.5-3%,48,Friendly,Botswana,107,,1857,"$4,688 ",$9B,4.90%,$268 ,,4.60%,3%,0.158,48,47,28%,1,36%,61%,0.032,1.9M,54.80%,Africa,$1B,$0B,12/1/2004
4.50%,,1104,Below Threshold,$371 ,Above 3%,52,Low,Burkina Faso,40,,,$0 ,$5B,6.10%,$24 ,,8.90%,0%,,53,51,3%,1,47%,51%,0.026,13.0M,20.80%,Africa,$0B,$0B,12/1/2004
4.30%,,198,Below Threshold,$122 ,Above 3%,50,Low,Burundi,13,,,$0 ,$1B,9.70%,$9 ,,7.90%,0%,0.183,51,48,1%,1,46%,51%,0.028,7.5M,9.10%,Africa,$0B,$0B,12/1/2004
4.10%,,3957,Below Threshold,$893 ,Above 3%,52,Low,Cameroon,45,,6959,$0 ,$16B,4.60%,$41 ,,8.10%,1%,0.18,53,51,9%,1,45%,52%,0.033,17.7M,47.90%,Africa,$0B,$0B,12/1/2004
3.80%,,213,Below Threshold,$326 ,Above 3%,45,Low,Central African Republic,22,,,$0 ,$1B,4.10%,$14 ,,11.10%,0%,0.18,46,43,2%,1,42%,54%,0.04,3.9M,38.00%,Africa,$0B,$0B,12/1/2004
5.00%,,378,Below Threshold,$457 ,Above 3%,48,Low,Chad,64,,,$0 ,$4B,5.10%,$23 ,,10.20%,0%,0.18,48,47,1%,1,49%,48%,0.027,9.7M,21.80%,Africa,,,12/1/2004
3.90%,,103,Below Threshold,$619 ,Above 3%,59,Low,Comoros,,,34,$0 ,$0B,4.00%,$25 ,,7.10%,1%,0.11,60,57,1%,1,41%,56%,0.03,0.6M,27.90%,Africa,$0B,$0B,12/1/2004
4.60%,,1936,Below Threshold,$196 ,Above 3%,48,Low,"Congo, Dem. Rep.",133,,19231,$0 ,$10B,5.40%,$7 ,,10.80%,0%,,49,46,4%,1,46%,51%,0.028,52.5M,37.00%,Africa,,,12/1/2004
3.90%,,1181,Below Threshold,"$1,348 ",Above 3%,54,Low,"Congo, Rep.",37,,1020,$0 ,$5B,2.60%,$34 ,,6.60%,1%,0.18,55,52,11%,1,42%,54%,0.035,3.4M,60.50%,Africa,$0B,$0B,12/1/2004
3.70%,,7664,Below Threshold,$903 ,Above 3%,47,Low,Cote d'Ivoire,58,,9302,$0 ,$15B,5.60%,$50 ,,9.10%,1%,,48,46,10%,1,42%,55%,0.029,17.1M,46.20%,Africa,$0B,$1B,12/1/2004
2.90%,,458,Below Threshold,$870 ,1.5-3%,58,Low,Djibouti,,,133,$0 ,$1B,6.80%,$57 ,,7.30%,1%,0.112,59,56,5%,1,38%,59%,0.033,0.8M,76.70%,Africa,$0B,$0B,12/1/2004
2.40%,,150912,Below Threshold,"$1,117 ",1.5-3%,70,Moderate,"Egypt, Arab Rep.",37,,53536,$0 ,$79B,5.30%,$57 ,,2.70%,12%,0.134,72,67,11%,1,33%,62%,0.054,70.6M,43.00%,Africa,$6B,$2B,12/1/2004
3.80%,,5218,Below Threshold,"$7,527 ",Above 3%,49,Low,Equatorial Guinea,,,762,"$4,688 ",$4B,2.10%,$191 ,,8.90%,1%,0.18,50,47,11%,1,41%,56%,0.033,0.6M,38.80%,Africa,,,12/1/2004
4.00%,,770,Below Threshold,$238 ,Above 3%,58,Low,Eritrea,91,,744,$0 ,$1B,2.90%,$7 ,,4.90%,,,60,56,0%,1,44%,54%,0.019,4.7M,18.60%,Africa,$0B,,12/1/2004
4.00%,,5244,Below Threshold,$134 ,Above 3%,56,Moderate,Ethiopia,34,,28377,$0 ,$10B,4.30%,$6 ,,7.40%,0%,0.07,56,55,0%,1,46%,51%,0.031,74.1M,15.50%,Africa,$0B,$0B,12/1/2004
3.30%,,1767,Below Threshold,"$5,328 ",Above 3%,60,Low,Gabon,,,1629,"$4,688 ",$7B,3.40%,$180 ,,5.20%,3%,0.18,61,59,36%,1,40%,55%,0.057,1.3M,82.80%,Africa,$0B,$0B,12/1/2004
4.40%,,323,Below Threshold,$416 ,Above 3%,57,Low,"Gambia, The",,,108,$0 ,$1B,4.40%,$18 ,,5.80%,3%,0.365,58,55,13%,1,46%,52%,0.026,1.4M,51.50%,Africa,$0B,$0B,12/1/2004
3.40%,,7349,Below Threshold,$426 ,Above 3%,58,Friendly,Ghana,22,,8267,$0 ,$9B,6.10%,$26 ,,5.90%,2%,,59,57,8%,1,40%,56%,0.033,20.8M,46.60%,Africa,$0B,$0B,12/1/2004
4.00%,,1342,Below Threshold,$391 ,Above 3%,52,Low,Guinea,40,,,$0 ,$4B,5.30%,$20 ,,8.80%,1%,,52,52,2%,1,44%,53%,0.033,9.4M,32.40%,Africa,,$0B,12/1/2004
4.00%,,202,Below Threshold,$376 ,Above 3%,52,Low,Guinea-Bissau,,,86,$0 ,$1B,5.30%,$20 ,,9.90%,2%,,53,51,3%,1,43%,54%,0.029,1.4M,40.00%,Africa,$0B,$0B,12/1/2004
3.90%,,7624,Below Threshold,$462 ,Above 3%,54,Moderate,Kenya,47,,15552,$0 ,$16B,4.30%,$20 ,,6.30%,3%,0.125,55,53,7%,1,43%,54%,0.027,34.8M,21.30%,Africa,$1B,$0B,12/1/2004
2.90%,,,Below Threshold,$645 ,1.5-3%,44,Moderate,Lesotho,93,,28,$0 ,$1B,7.00%,$45 ,,8.40%,2%,0.124,44,43,10%,1,40%,55%,0.046,1.9M,21.70%,Africa,$0B,$0B,12/1/2004
4.10%,,627,Below Threshold,$147 ,Above 3%,54,Low,Liberia,,,,$0 ,$0B,8.80%,$13 ,,9.00%,0%,0.181,55,53,3%,1,43%,54%,0.03,3.2M,45.70%,Africa,$0B,$0B,12/1/2004
2.30%,,50359,Below Threshold,"$6,062 ",1.5-3%,74,Low,Libya,,,17796,"$4,688 ",$33B,3.50%,$205 ,,2.10%,4%,0.061,75,72,9%,1,31%,65%,0.042,5.5M,76.80%,Africa,$0B,$1B,12/1/2004
3.80%,,1808,Below Threshold,$246 ,Above 3%,61,Moderate,Madagascar,44,,,$0 ,$4B,4.90%,$12 ,,5.80%,1%,0.255,62,59,2%,1,45%,52%,0.029,17.8M,28.20%,Africa,$0B,$0B,12/1/2004
4.30%,,975,Below Threshold,$209 ,Above 3%,48,Low,Malawi,39,,,$0 ,$3B,7.80%,$16 ,,7.80%,0%,0.368,48,48,2%,1,46%,51%,0.03,12.6M,15.00%,Africa,$0B,$0B,12/1/2004
4.80%,,565,Below Threshold,$421 ,Above 3%,51,Low,Mali,41,,,$0 ,$5B,6.30%,$27 ,,10.10%,0%,,51,51,4%,1,46%,51%,0.031,11.6M,31.30%,Africa,$0B,$0B,12/1/2004
3.70%,,1632,Below Threshold,$600 ,Above 3%,61,Low,Mauritania,82,,,$0 ,$2B,5.90%,$28 ,,7.50%,1%,0.21,62,59,17%,1,42%,55%,0.032,3.1M,52.40%,Africa,,,12/1/2004
1.60%,,3194,Below Threshold,"$5,177 ",1.5-3%,73,Very Friendly,Mauritius,46,,1019,"$4,688 ",$6B,4.20%,$227 ,,1.40%,14%,0.21,76,69,45%,1,25%,69%,0.065,1.2M,41.80%,Africa,$1B,$0B,12/1/2004
2.00%,,43311,Below Threshold,"$1,907 ",1.5-3%,69,Friendly,Morocco,12,,12221,$0 ,$57B,5.20%,$99 ,,3.70%,12%,0.115,71,67,31%,1,31%,64%,0.049,29.9M,54.60%,Africa,$5B,$1B,12/1/2004
4.40%,,1922,Below Threshold,$279 ,Above 3%,48,Moderate,Mozambique,153,,8375,$0 ,$6B,5.90%,$16 ,,9.50%,1%,0.221,49,46,4%,1,45%,52%,0.032,20.4M,29.80%,Africa,$0B,$0B,12/1/2004
3.00%,,1962,Below Threshold,"$3,298 ",Above 3%,55,Friendly,Namibia,85,,1163,$0 ,$7B,6.50%,$213 ,,4.80%,4%,0.114,57,53,14%,1,40%,57%,0.033,2.0M,35.70%,Africa,$0B,$0B,12/1/2004
5.20%,,964,Below Threshold,$240 ,Above 3%,53,Low,Niger,35,,,$0 ,$3B,7.10%,$16 ,,8.60%,0%,,53,53,1%,1,49%,49%,0.025,12.7M,16.60%,Africa,$0B,$0B,12/1/2004
4.30%,,97047,Below Threshold,$646 ,Above 3%,49,Moderate,Nigeria,36,,101751,$0 ,$88B,7.00%,$45 ,,10.00%,1%,0.192,49,48,7%,1,44%,54%,0.027,136.0M,38.20%,Africa,$0B,,12/1/2004
3.90%,,689,Below Threshold,$226 ,Above 3%,54,Friendly,Rwanda,18,,,$0 ,$2B,5.80%,$13 ,,7.50%,0%,0.165,55,52,2%,1,45%,53%,0.026,9.3M,18.40%,Africa,$0B,$0B,12/1/2004
3.80%,,73,Below Threshold,$734 ,Above 3%,64,Low,Sao Tome and Principe,192,,38,$0 ,$0B,11.00%,$79 ,,5.00%,13%,0.298,66,62,5%,1,42%,54%,0.04,0.2M,57.10%,Africa,$0B,$0B,12/1/2004
3.90%,,5280,Below Threshold,$732 ,Above 3%,60,Low,Senegal,59,,2736,$0 ,$8B,5.70%,$42 ,,5.90%,4%,,62,58,10%,1,44%,53%,0.032,11.0M,40.90%,Africa,$0B,$0B,12/1/2004
1.70%,,744,Below Threshold,"$10,174 ",1.5-3%,73,Friendly,Seychelles,,,256,"$9,376 ",$1B,4.30%,$421 ,,1.20%,24%,0.1,76,69,63%,1,25%,67%,0.076,0.1M,50.80%,Africa,$0B,$0B,12/1/2004
4.20%,,642,Above Threshold,$290 ,Above 3%,42,Moderate,Sierra Leone,26,,,$0 ,$1B,15.40%,$45 ,,13.00%,0%,0.221,42,41,,1,43%,55%,0.024,4.9M,36.60%,Africa,$0B,$0B,12/1/2004
4.70%,,576,Below Threshold,,Above 3%,53,Not Clustered,Somalia,,,,,,,,,10.50%,1%,,54,51,6%,1,48%,49%,0.029,8.2M,34.80%,Africa,,,12/1/2004
2.30%,,427132,Below Threshold,"$4,660 ",1.5-3%,52,Very Friendly,South Africa,38,,128722,$0 ,$219B,8.90%,$410 ,,5.20%,8%,0.113,53,51,44%,1,31%,65%,0.042,47.0M,59.00%,Africa,$8B,$4B,12/1/2004
4.00%,,,Below Threshold,,Above 3%,51,Low,South Sudan,,,,,,,,,9.10%,,,52,50,,1,44%,53%,0.032,7.7M,17.00%,Africa,,,12/1/2004
3.80%,,11382,Below Threshold,$697 ,Above 3%,60,Moderate,Sudan,39,,14769,$0 ,$21B,4.10%,$29 ,,6.30%,1%,,61,58,3%,1,43%,54%,0.03,30.8M,32.70%,Africa,$0B,$0B,12/1/2004
3.20%,,1030,Below Threshold,"$2,211 ",Above 3%,46,Moderate,Swaziland,,,406,$0 ,$2B,5.90%,$130 ,,8.20%,3%,0.113,46,46,13%,1,42%,55%,0.031,1.1M,22.20%,Africa,$0B,$0B,12/1/2004
4.20%,,4353,Below Threshold,$340 ,Above 3%,53,Moderate,Tanzania,28,,16198,$0 ,$13B,3.40%,$12 ,,6.10%,1%,0.141,53,52,5%,1,45%,52%,0.03,37.8M,24.20%,Africa,$1B,$0B,12/1/2004
3.80%,,1397,Below Threshold,$359 ,Above 3%,54,Low,Togo,65,,2327,$0 ,$2B,5.90%,$21 ,,7.00%,2%,,55,53,6%,1,43%,54%,0.028,5.4M,34.70%,Africa,$0B,$0B,12/1/2004
1.70%,,22446,Below Threshold,"$3,140 ",1.5-3%,73,Very Friendly,Tunisia,11,,8463,$0 ,$31B,5.60%,$179 ,,2.10%,9%,,75,71,38%,1,27%,67%,0.066,9.9M,64.90%,Africa,$2B,$0B,12/1/2004
4.70%,,1852,Below Threshold,$286 ,Above 3%,52,Moderate,Uganda,34,,,$0 ,$8B,7.90%,$24 ,,7.30%,1%,0.206,52,52,4%,1,49%,48%,0.025,27.8M,12.80%,Africa,$0B,$0B,12/1/2004
4.40%,,2131,Below Threshold,$487 ,Above 3%,46,Friendly,Zambia,35,,7005,$0 ,$5B,6.70%,$33 ,,8.10%,2%,0.307,46,45,4%,1,47%,51%,0.027,11.2M,36.20%,Africa,$0B,$0B,12/1/2004
3.20%,,9927,Below Threshold,$457 ,Above 3%,44,Low,Zimbabwe,97,,9269,$0 ,$6B,,,,5.80%,7%,2.789,43,44,3%,1,42%,55%,0.036,12.7M,34.30%,Africa,$0B,,12/1/2004
4.60%,,733,Below Threshold,$220 ,Above 3%,57,Low,Afghanistan,9,,,$0 ,$5B,9.80%,$19 ,,8.60%,0%,,58,55,3%,1,49%,49%,0.02,24.0M,22.60%,Asia,,,12/1/2004
1.40%,,3645,Below Threshold,"$1,182 ",Below 1.5%,73,Very Friendly,Armenia,18,,2095,$0 ,$4B,5.50%,$65 ,,2.20%,5%,0.186,76,70,7%,1,23%,66%,0.115,3.0M,64.20%,Asia,$0B,$0B,12/1/2004
1.60%,,32090,Below Threshold,"$1,045 ",1.5-3%,69,Friendly,Azerbaijan,121,,12786,$0 ,$9B,7.90%,$81 ,,4.70%,,0.157,71,66,17%,1,27%,67%,0.064,8.3M,52.20%,Asia,$0B,$0B,12/1/2004
2.40%,,39750,Below Threshold,$400 ,1.5-3%,68,Moderate,Bangladesh,50,,22554,$0 ,$57B,3.10%,$12 ,,5.30%,0%,0.148,68,67,2%,1,35%,61%,0.042,141.2M,26.10%,Asia,$0B,$0B,12/1/2004
2.40%,,308,Below Threshold,"$1,109 ",1.5-3%,63,Low,Bhutan,62,,180,$0 ,$1B,4.40%,$49 ,,4.80%,3%,0.15,63,63,3%,1,35%,61%,0.04,0.6M,29.80%,Asia,$0B,,12/1/2004
2.00%,,5361,Below Threshold,"$21,819 ",1.5-3%,77,Friendly,Brunei Darussalam,,,2296,"$18,752 ",$8B,3.00%,$658 ,,0.80%,30%,0.055,79,75,56%,1,29%,68%,0.031,0.4M,73.10%,Asia,$0B,$0B,12/1/2004
2.60%,,2446,Below Threshold,$406 ,1.5-3%,66,Moderate,Cambodia,94,,3389,$0 ,$5B,7.10%,$29 ,,5.70%,0%,,69,63,7%,1,37%,59%,0.043,13.1M,19.10%,Asia,$1B,$0B,12/1/2004
1.20%,,5288166,Below Threshold,"$1,490 ",Below 1.5%,74,Friendly,China,48,,1639854,$0 ,"$1,932B",4.70%,$70 ,,2.20%,7%,0.056,75,73,26%,1,21%,71%,0.075,"1,296.1M",41.10%,Asia,$28B,$21B,12/1/2004
1.20%,,4323,Below Threshold,"$1,187 ",Below 1.5%,73,Very Friendly,Georgia,25,,2781,$0 ,$5B,8.50%,$97 ,,2.40%,4%,0.221,76,69,19%,1,19%,67%,0.143,4.3M,52.40%,Asia,$0B,$0B,12/1/2004
0.70%,,38415,Below Threshold,"$24,928 ",Below 1.5%,82,Very Friendly,"Hong Kong SAR, China",11,,12808,"$23,440 ",$169B,,,,,56%,0.05,85,79,119%,1,15%,73%,0.119,6.8M,100.00%,Asia,$12B,$13B,12/1/2004
2.40%,,1348525,Below Threshold,$650 ,1.5-3%,64,Moderate,India,89,,519165,$0 ,$722B,4.50%,$29 ,,5.80%,2%,0.109,65,62,5%,1,33%,63%,0.046,"1,110.6M",28.90%,Asia,$6B,$6B,12/1/2004
2.10%,,337635,Below Threshold,"$1,161 ",1.5-3%,69,Moderate,Indonesia,151,,176238,$0 ,$257B,2.40%,$27 ,,3.50%,3%,0.141,71,67,14%,1,30%,65%,0.048,221.3M,45.10%,Asia,$5B,$5B,12/1/2004
0.90%,,1259655,Below Threshold,"$36,442 ",Below 1.5%,83,Very Friendly,Japan,31,,522488,"$32,816 ","$4,656B",8.00%,"$2,914 ",,0.30%,62%,0.018,86,79,72%,1,14%,67%,0.193,127.8M,84.60%,Asia,$14B,$48B,12/1/2004
1.80%,,172158,Below Threshold,"$2,874 ",1.5-3%,66,Friendly,Kazakhstan,26,,50717,$0 ,$43B,4.00%,$114 ,,3.00%,3%,,72,60,16%,1,25%,67%,0.076,15.0M,54.90%,Asia,$1B,$1B,12/1/2004
1.60%,,79482,Below Threshold,,1.5-3%,68,Not Clustered,"Korea, Dem. Rep.",,,20494,,,,,,2.80%,,,72,64,,1,25%,68%,0.071,23.6M,59.70%,Asia,,,12/1/2004
1.00%,,482277,Below Threshold,"$15,922 ",Below 1.5%,78,Very Friendly,"Korea, Rep.",17,,208284,"$14,064 ",$765B,5.20%,$784 ,,0.50%,73%,0.059,81,75,78%,1,20%,72%,0.089,48.0M,81.00%,Asia,$8B,$14B,12/1/2004
2.20%,,5699,Below Threshold,$433 ,1.5-3%,68,Friendly,Kyrgyz Republic,21,,2542,$0 ,$2B,5.60%,$25 ,,3.60%,5%,0.293,72,64,5%,1,32%,62%,0.057,5.1M,35.30%,Asia,$0B,$0B,12/1/2004
2.80%,,1423,Below Threshold,$415 ,1.5-3%,64,Low,Lao PDR,153,,,$0 ,$2B,4.60%,$19 ,,7.30%,0%,0.293,65,63,4%,1,41%,55%,0.037,5.7M,26.20%,Asia,$0B,$0B,12/1/2004
0.80%,,1727,Below Threshold,"$22,372 ",Below 1.5%,79,Not Clustered,"Macao SAR, China",,,,"$18,752 ",$10B,,,,,32%,0.06,81,76,94%,1,19%,74%,0.074,0.5M,100.00%,Asia,$7B,$1B,12/1/2004
1.90%,,167333,Below Threshold,"$4,918 ",1.5-3%,74,Very Friendly,Malaysia,37,,58691,"$4,688 ",$125B,3.70%,$181 ,,0.70%,42%,0.06,76,71,58%,1,31%,65%,0.043,25.4M,65.70%,Asia,$9B,$4B,12/1/2004
2.10%,,777,Below Threshold,"$3,677 ",1.5-3%,74,Friendly,Maldives,9,,250,$0 ,$1B,5.90%,$217 ,,2.20%,7%,0.13,75,72,39%,1,36%,60%,0.044,0.3M,32.50%,Asia,$0B,$0B,12/1/2004
2.00%,,8551,Below Threshold,$798 ,1.5-3%,65,Friendly,Mongolia,13,,2600,$0 ,$2B,7.00%,$56 ,,3.90%,,0.315,69,61,17%,1,30%,66%,0.037,2.5M,61.40%,Asia,$0B,$0B,12/1/2004
1.90%,,12435,Below Threshold,,1.5-3%,63,Low,Myanmar,,,14764,,,2.30%,$5 ,,5.20%,0%,0.15,65,61,0%,1,29%,67%,0.049,49.9M,28.50%,Asia,$0B,$0B,12/1/2004
2.90%,,2769,Below Threshold,$292 ,1.5-3%,64,Moderate,Nepal,31,,8832,$0 ,$7B,5.80%,$17 ,,4.90%,0%,0.085,65,63,1%,1,40%,56%,0.043,24.9M,14.90%,Asia,$0B,$0B,12/1/2004
2.80%,,131601,Below Threshold,$631 ,1.5-3%,65,Moderate,Pakistan,24,,73580,$0 ,$98B,2.80%,$18 ,,8.20%,6%,0.073,66,64,3%,1,39%,57%,0.041,155.2M,34.40%,Asia,$1B,$2B,12/1/2004
2.80%,,74066,Below Threshold,"$1,085 ",1.5-3%,68,Moderate,Philippines,49,,38643,$0 ,$91B,3.20%,$35 ,,2.80%,5%,0.101,71,64,39%,1,37%,59%,0.034,84.2M,46.90%,Asia,$2B,$2B,12/1/2004
1.00%,,28474,Below Threshold,"$27,405 ",Below 1.5%,80,Very Friendly,Singapore,8,,30845,"$23,440 ",$114B,3.20%,$826 ,,0.20%,62%,0.053,82,77,91%,1,20%,72%,0.081,4.2M,100.00%,Asia,$5B,$9B,12/1/2004
1.90%,,11965,Below Threshold,"$1,063 ",1.5-3%,74,Friendly,Sri Lanka,48,,8798,$0 ,$21B,4.20%,$44 ,,1.20%,1%,0.095,77,70,11%,1,26%,68%,0.069,19.4M,18.40%,Asia,$1B,$0B,12/1/2004
2.90%,,2563,Below Threshold,$312 ,1.5-3%,66,Moderate,Tajikistan,,,2346,$0 ,$2B,4.30%,$13 ,,5.80%,0%,0.203,69,62,2%,1,39%,57%,0.037,6.7M,26.40%,Asia,$0B,$0B,12/1/2004
1.30%,,252345,Below Threshold,"$2,479 ",Below 1.5%,73,Very Friendly,Thailand,33,,96291,$0 ,$161B,3.50%,$87 ,,1.60%,11%,0.055,76,69,41%,1,23%,70%,0.075,65.1M,36.30%,Asia,$13B,$5B,12/1/2004
3.80%,,176,Below Threshold,$471 ,Above 3%,63,Low,Timor-Leste,158,,58,$0 ,$0B,8.60%,$27 ,,6.90%,,0.155,64,61,3%,1,48%,49%,0.027,1.0M,25.70%,Asia,,,12/1/2004
2.30%,,43337,Below Threshold,"$1,456 ",1.5-3%,64,Not Clustered,Turkmenistan,,,18406,$0 ,$7B,3.70%,$111 ,,6.00%,1%,,68,60,1%,1,33%,62%,0.046,4.7M,46.80%,Asia,,,12/1/2004
2.10%,,119306,Below Threshold,$465 ,1.5-3%,68,Low,Uzbekistan,29,,50678,$0 ,$12B,5.10%,$24 ,,4.80%,3%,,71,64,2%,1,34%,61%,0.047,25.9M,36.80%,Asia,$0B,,12/1/2004
1.70%,,90549,Below Threshold,$607 ,1.5-3%,75,Friendly,Vietnam,51,,38968,$0 ,$49B,5.50%,$30 ,,2.40%,8%,0.097,79,70,6%,1,28%,65%,0.066,81.4M,26.70%,Asia,$2B,,12/1/2004
1.50%,,4166,Below Threshold,"$2,476 ",1.5-3%,76,Friendly,Albania,41,,2172,$0 ,$7B,6.50%,$148 ,,1.90%,2%,0.118,79,73,39%,1,27%,65%,0.082,3.0M,45.70%,Europe,$1B,$1B,12/1/2004
1.10%,,565,Below Threshold,"$29,372 ",Below 1.5%,,Not Clustered,Andorra,,,,"$28,128 ",$2B,5.70%,"$2,193 ",,0.30%,27%,,,,74%,1,,,,0.1M,90.80%,Europe,,,12/1/2004
1.00%,,71866,Below Threshold,"$35,662 ",Below 1.5%,79,Very Friendly,Austria,25,,32690,"$32,816 ",$291B,10.40%,"$3,720 ",,0.40%,54%,,82,76,98%,1,16%,68%,0.158,8.2M,65.80%,Europe,$17B,$11B,12/1/2004
0.90%,,58038,Below Threshold,"$2,378 ",Below 1.5%,69,Friendly,Belarus,79,,26888,$0 ,$23B,6.60%,$157 ,,0.80%,,0.169,75,63,23%,1,16%,69%,0.146,9.7M,71.90%,Europe,$0B,$1B,12/1/2004
1.10%,,111282,Below Threshold,"$34,707 ",Below 1.5%,79,Very Friendly,Belgium,34,,58895,"$32,816 ",$362B,10.00%,"$3,482 ",,0.40%,54%,0.067,82,76,88%,1,17%,66%,0.173,10.4M,97.30%,Europe,$10B,$15B,12/1/2004
0.80%,,24617,Below Threshold,"$2,579 ",Below 1.5%,76,Moderate,Bosnia and Herzegovina,63,,4811,$0 ,$10B,9.00%,$236 ,,0.70%,16%,0.103,78,73,36%,1,19%,68%,0.127,3.9M,39.20%,Europe,$1B,$0B,12/1/2004
0.90%,,46787,Below Threshold,"$3,249 ",Below 1.5%,73,Friendly,Bulgaria,32,,18833,$0 ,$25B,7.30%,$238 ,,1.50%,18%,0.089,76,69,61%,1,14%,69%,0.173,7.8M,70.20%,Europe,$3B,$2B,12/1/2004
0.90%,,23047,Below Threshold,"$9,237 ",Below 1.5%,76,Friendly,Croatia,29,,8831,"$4,688 ",$41B,6.60%,$614 ,,0.60%,31%,0.117,79,72,64%,1,16%,67%,0.169,4.4M,56.20%,Europe,$7B,$1B,12/1/2004
1.20%,,7334,Below Threshold,"$15,571 ",Below 1.5%,79,Very Friendly,Cyprus,,,2184,"$14,064 ",$16B,6.40%,"$1,353 ",,0.40%,34%,0.076,81,76,65%,1,21%,69%,0.106,1.0M,68.40%,Europe,$3B,$1B,12/1/2004
1.00%,,122709,Below Threshold,"$11,177 ",Below 1.5%,76,Friendly,Czech Republic,40,,45511,"$9,376 ",$114B,6.90%,$771 ,,0.50%,36%,0.06,79,73,106%,1,15%,71%,0.14,10.2M,73.70%,Europe,$5B,$3B,12/1/2004
1.20%,,50597,Below Threshold,"$45,282 ",Below 1.5%,78,Very Friendly,Denmark,7,,19428,"$42,192 ",$245B,9.70%,"$4,387 ",,0.40%,81%,,80,75,96%,1,19%,66%,0.15,5.4M,85.60%,Europe,$6B,$7B,12/1/2004
1.00%,,17217,Below Threshold,"$8,830 ",Below 1.5%,72,Very Friendly,Estonia,72,,5282,"$4,688 ",$12B,5.10%,$450 ,,0.60%,53%,0.057,78,66,94%,1,16%,68%,0.166,1.4M,68.90%,Europe,$1B,$0B,12/1/2004
,,796,Below Threshold,"$34,521 ",Above 3%,80,Not Clustered,Faeroe Islands,,,,"$32,816 ",$2B,,,,,67%,,82,77,85%,1,,,,0.0M,39.20%,Europe,,,12/1/2004
1.10%,,67091,Below Threshold,"$36,163 ",Below 1.5%,79,Very Friendly,Finland,14,,37120,"$32,816 ",$189B,8.20%,"$2,974 ",,0.30%,72%,0.037,82,75,95%,1,18%,67%,0.157,5.2M,82.80%,Europe,$3B,$3B,12/1/2004
1.30%,,390103,Below Threshold,"$32,785 ",Below 1.5%,81,Very Friendly,France,7,,269777,"$28,128 ","$2,056B",11.00%,"$3,620 ",,0.40%,39%,0.066,84,77,73%,1,19%,65%,0.164,62.7M,76.90%,Europe,$52B,$36B,12/1/2004
0.90%,,825896,Below Threshold,"$33,040 ",Below 1.5%,79,Very Friendly,Germany,45,,340676,"$32,816 ","$2,726B",10.70%,"$3,524 ",,0.40%,65%,,82,76,85%,1,15%,67%,0.184,82.5M,73.30%,Europe,$36B,$81B,12/1/2004
